Name,PoseNum,ZDock Score,ZRank Score,Cluster,ClusterCenter,ClusterSize,Density,E_vdw1,E_elec1,E_vdw2,E_elec2,E_sol,E_RDock,clash
Pose1457,1457,16.780,21.703,29,0,17,16.000,-84.4304992,-0.285949211,-132.512111,5.21343267,17.6,22.292089403,0
Pose1321,1321,17.080,12.157,2001,0,1,5.000,-97.5529521,-0.330981795,-99.2434964,4.26326994,18.5,22.336942946,0
Pose1426,1426,17.320,19.947,29,0,17,13.000,-84.7527809,-3.09706898,-124.699141,5.26586728,17.6,22.339280552,0
Pose1505,1505,18.160,25.340,30,0,17,12.000,-16.2699454,6.88434099,-138.055005,13.6378545,10.1,22.37406905,0
Pose1748,1748,17.320,49.006,45,0,12,10.000,-86.1267283,-4.39682151,-120.513221,7.98888995,15.2,22.390000955,0
Pose1941,1941,19.080,93.160,2001,0,1,9.000,-128.259894,-3.53428187,-133.377341,-17.1187594,37.8,22.39311654,0
Pose515,515,18.040,-28.896,2,0,61,32.000,-125.647343,8.239047564E-03,-129.675253,-4.15487967,26.2,22.460608297,0
Pose1597,1597,17.180,32.647,99,1,6,10.000,-106.539273,0.976374016,-127.745774,-9.79012663,31.3,22.488886033,0
Pose1281,1281,17.260,9.269,2001,0,1,2.000,-113.592141,-1.46379342,-117.670813,4.15887279,18.8,22.542985511,0
Pose1169,1169,17.360,3.777,15,1,23,11.000,-137.069783,2.27966296,-133.715108,-6.47705481,28.4,22.570650671,0
Pose1799,1799,16.780,57.699,15,0,23,16.000,-122.634455,-3.87638508,-125.311068,-3.5598883,25.8,22.59610053,0
Pose1434,1434,17.340,20.336,5,0,47,24.000,-120.019482,1.01797434,-114.243201,-4.28452764,26.5,22.643925124,0
Pose1812,1812,17.840,60.057,1,0,70,40.000,-26.8493989,-2.14001605,-137.833995,-7.82452894,29.7,22.657923954,0
Pose510,510,19.060,-29.384,43,1,13,10.000,-103.428716,0.473647583,-99.7162142,1.77165659,21.1,22.694490931,0
Pose1105,1105,16.900,0.802,45,0,12,11.000,-96.9374207,-4.17778932,-121.924705,1.9423628,21.0,22.74812652,0
Pose669,669,18.920,-20.865,11,0,24,22.000,-134.420558,-5.35483997,-143.399104,-9.41289869,31.3,22.828391179,0
Pose1547,1547,16.840,28.778,47,0,12,25.000,-110.043077,-0.804897766,-115.163761,-5.0543774,27.4,22.85106034,0
Pose1461,1461,16.900,21.935,45,0,12,11.000,-117.123958,-1.98164558,-120.802734,6.75689736,16.8,22.881207624,0
Pose926,926,16.740,-8.402,60,1,10,10.000,-115.513887,-0.940792824,-120.002607,-8.66156654,30.7,22.904590114,0
Pose376,376,17.700,-38.545,45,0,12,14.000,-127.470206,-1.02401928,-126.766761,2.37495307,20.8,22.937457763,0
Pose905,905,16.700,-9.186,2001,0,1,3.000,-157.116842,-5.46238681,-152.90033,-2.02495198,24.8,22.977543218,0
Pose969,969,18.060,-6.521,2001,0,1,1.000,-115.968844,-2.56991096,-122.968855,1.78577146,21.4,23.007194314,0
Pose1905,1905,17.900,79.495,2001,0,1,3.000,-94.1966423,-1.0093272,-108.549255,7.46440344,16.3,23.017963096,0
Pose871,871,17.380,-10.660,2001,0,1,4.000,-118.726239,1.99114447,-113.593446,7.74106136,16.1,23.066955224,0
Pose1190,1190,18.100,4.728,2001,0,1,1.000,-59.5935893,4.45740879,-103.546132,10.8664414,13.3,23.07979726,0
Pose820,820,18.200,-13.123,2,0,61,32.000,-112.022606,1.06662497,-125.921981,-2.78877216,25.6,23.090105056,0
Pose1883,1883,18.220,72.936,2,0,61,32.000,-90.375834,-4.98448444,-126.150669,-0.390344937,23.5,23.1486895567,0
Pose1305,1305,18.280,11.024,5,0,47,25.000,-111.538832,-1.28802226,-118.735227,-5.05135335,27.7,23.153781985,0
Pose1826,1826,17.540,61.292,28,0,18,11.000,-97.1922012,0.372284521,-142.601365,1.0998334,22.2,23.18985006,0
Pose1381,1381,17.180,16.430,2001,0,1,4.000,-78.8156906,0.16964562,-89.4481094,0.680208812,22.6,23.2121879308,0
Pose1362,1362,18.320,15.046,15,0,23,16.000,-130.528208,-1.00000222,-131.534579,-8.17651149,30.6,23.241139659,0
Pose1546,1546,19.080,28.634,25,0,18,18.000,-40.5709199,4.18681227,-128.434467,7.20865813,16.8,23.287792317,0
Pose1264,1264,17.840,8.656,45,0,12,14.000,-128.643944,-0.655827085,-134.06928,3.42906132,20.3,23.386155188,0
Pose1968,1968,17.160,106.438,11,0,24,11.000,131.498495,-4.51303104,-126.233887,-16.0694278,38.0,23.53751498,0
Pose1901,1901,17.700,78.143,89,0,7,7.000,5.17649289,-1.80719038,-104.942995,8.61094398,15.8,23.549849582,0
Pose1988,1988,16.900,126.449,2001,0,1,8.000,392.729765,-3.83211776,-100.199625,2.53624848,21.3,23.582623632,0
Pose1732,1732,16.780,46.086,43,0,13,9.000,-118.514289,2.76513912,-121.270218,-0.235399373,23.8,23.5881405643,0
Pose611,611,17.840,-23.528,2001,0,1,12.000,-103.715752,5.9802931,-115.370357,11.1389131,13.6,23.62502179,0
Pose1015,1015,19.400,-3.836,28,0,18,16.000,-131.221987,-5.71018894,-125.450885,-0.962077239,24.5,23.6341304849,0
Pose1760,1760,17.200,52.243,27,0,18,18.000,-125.303426,-4.36280204,-119.028784,10.5344487,14.2,23.68100383,0
Pose894,894,16.780,-9.504,2001,0,1,3.000,-95.0659382,-1.14526354,-99.319299,6.21950107,18.1,23.697550963,0
Pose1498,1498,17.620,24.998,47,0,12,24.000,-76.5227229,2.07515095,-117.338094,-2.84749725,26.3,23.737252475,0
Pose1744,1744,16.620,48.169,2001,0,1,1.000,-112.704936,-1.55859167,-141.674123,-6.27116048,29.4,23.755955568,0
Pose903,903,16.960,-9.228,5,0,47,25.000,-112.723451,-2.49071484,-128.345841,-1.12789303,24.8,23.784896273,0
Pose1565,1565,16.720,29.480,28,0,18,17.000,-127.944488,4.27646243,-123.668373,-8.42038561,31.4,23.821652951,0
Pose1318,1318,18.620,11.816,29,0,17,16.000,-97.90822,-3.55150609,-141.123032,4.03391375,20.3,23.930522375,0
Pose1855,1855,17.240,65.230,9,0,24,24.000,-106.709393,4.66605327,-117.437821,3.86112161,20.5,23.975009449,0
Pose1761,1761,20.480,52.328,35,0,16,14.000,-152.249215,-4.37551022,-144.372068,-6.59065661,30.0,24.068409051,0
Pose1607,1607,18.200,33.355,17,0,21,18.000,-87.1418824,9.53115084,-138.197521,15.7419798,10.0,24.16778182,0
Pose100,100,18.200,-63.574,76,0,7,7.000,-127.723271,-3.59348238,-132.718302,3.02273047,21.5,24.220457423,0
Pose1303,1303,20.020,10.897,2001,0,1,14.000,-127.386666,9.99051313,-128.152502,14.4221261,11.3,24.27991349,0
Pose1701,1701,20.360,42.045,25,0,18,18.000,-151.431127,-1.67164648,-145.471831,3.54029316,21.2,24.386263844,0
Pose1963,1963,17.800,103.002,35,0,16,9.000,-96.2641521,-6.47577843,-119.028519,-2.56901486,26.7,24.387886626,0
Pose1594,1594,21.340,32.234,17,0,21,20.000,-104.631676,6.82232842,-132.936722,13.0581588,12.7,24.45234292,0
Pose999,999,17.000,-4.607,5,0,47,25.000,-114.581717,0.501243292,-125.670437,-0.377790765,24.8,24.4599883115,0
Pose1758,1758,18.000,51.938,15,0,23,15.000,-135.0774,-3.6490099,-136.641728,-6.91364925,30.7,24.477715675,0
Pose1859,1859,17.200,66.481,11,0,24,17.000,-110.50576,-5.78424445,-124.724856,-6.24477673,30.1,24.479700943,0
Pose1332,1332,19.740,13.483,76,0,7,7.000,-109.230708,-1.77000229,-138.284591,4.32872114,20.7,24.595849026,0
Pose1949,1949,17.420,95.835,35,0,16,12.000,-133.048921,-2.75271216,-132.896897,-5.81458931,29.9,24.666869621,0
Pose1854,1854,17.000,65.210,28,0,18,17.000,77.2902191,-8.74036094,-123.61133,-6.14079873,30.2,24.673281143,0
Pose1329,1329,16.740,13.110,60,0,10,5.000,-122.579917,-5.91183448,-119.693127,-2.21813753,26.7,24.703676223,0
Pose1258,1258,21.160,8.300,15,0,23,16.000,-151.865919,-1.79579699,-147.871885,-7.37626389,31.4,24.761362499,0
Pose398,398,19.000,-36.888,29,1,17,17.000,-139.951263,-4.67514843,-132.6778,6.19823657,19.2,24.778412913,0
Pose944,944,18.520,-7.735,35,0,16,14.000,-160.755046,-4.11201648,-154.382751,-7.87400665,31.9,24.813394015,0
Pose1889,1889,17.460,75.646,2001,0,1,4.000,-137.295383,-1.401197,-119.456629,4.59743637,20.7,24.837692733,0
Pose1612,1612,17.100,33.785,29,0,17,14.000,-110.372332,2.12150286,-119.652697,3.99327622,21.3,24.893948598,0
Pose1586,1586,17.420,31.855,2001,0,1,2.000,-51.7910228,-0.413225851,-105.706414,-9.848893432E-02,25.1,25.011359959112,0
